type,subnet,specifics,source,Destinations,Environments,Sources,Status
PolicyType.Reachability,200.1.66.0/24,0,athens,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},athens,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,praha,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},praha,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,peerbrussels_6,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},peerbrussels_6,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,peerbrussels_5,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},peerbrussels_5,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,peerbrussels_4,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},peerbrussels_4,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,dublin,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},dublin,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,peerkiev_11,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},peerkiev_11,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,peerbasel_3,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},peerbasel_3,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,geneva,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},geneva,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,bucharest,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},bucharest,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,peergeneva_9,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},peergeneva_9,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,rotterdam,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},rotterdam,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,peerbarcelona_1,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},peerbarcelona_1,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,zagreb,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},zagreb,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,sofia,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},sofia,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,vaduz,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},vaduz,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,peermarseille_12,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},peermarseille_12,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,peermilan_14,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},peermilan_14,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,luxembourg,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},luxembourg,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,barcelona,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},barcelona,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,amsterdam,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},amsterdam,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,istanbul,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},istanbul,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,kiev,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},kiev,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.66.0/24,0,peeramsterdam_0,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},peeramsterdam_0,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.66.0/24,0,peerfrankfurt_7,{zurich:GigabitEthernet0/0 (200.1.66.0/24)},{9},peerfrankfurt_7,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,vienna,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},vienna,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,ljubjana,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},ljubjana,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,peermarseille_13,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},peermarseille_13,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,roma,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},roma,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,milan,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},milan,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,strasbourg,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},strasbourg,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,lyon,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},lyon,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,stockholm,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},stockholm,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,warsaw,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},warsaw,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,london,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},london,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,lisbon,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},lisbon,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,frankfurt,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},frankfurt,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,brussels,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},brussels,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,peeristanbul_10,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},peeristanbul_10,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,peerbasel_2,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},peerbasel_2,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,peergeneva_8,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},peergeneva_8,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,paris,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},paris,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,zurich,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},zurich,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,budapest,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},budapest,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,madrid,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},madrid,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,marseille,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},marseille,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,bratislava,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},bratislava,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,peerstrasbourg_15,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},peerstrasbourg_15,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,basel,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},basel,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,athens,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},athens,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,praha,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},praha,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,peerbrussels_6,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},peerbrussels_6,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,peerbrussels_5,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},peerbrussels_5,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,peerbrussels_4,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},peerbrussels_4,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,dublin,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},dublin,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,peerkiev_11,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},peerkiev_11,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,peerbasel_3,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},peerbasel_3,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,geneva,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},geneva,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,bucharest,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},bucharest,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,peergeneva_9,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},peergeneva_9,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,rotterdam,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},rotterdam,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,peerbarcelona_1,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},peerbarcelona_1,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,zagreb,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},zagreb,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,vaduz,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},vaduz,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,peermarseille_12,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},peermarseille_12,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,peermilan_14,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},peermilan_14,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,barcelona,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},barcelona,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,luxembourg,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},luxembourg,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,amsterdam,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},amsterdam,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,istanbul,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},istanbul,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,kiev,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},kiev,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.65.0/24,0,peeramsterdam_0,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},peeramsterdam_0,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.65.0/24,0,peerfrankfurt_7,{sofia:GigabitEthernet0/0 (200.1.65.0/24)},{9},peerfrankfurt_7,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.64.0/24,0,vienna,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},vienna,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.64.0/24,0,ljubjana,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},ljubjana,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.64.0/24,0,peermarseille_13,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},peermarseille_13,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.64.0/24,0,lyon,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},lyon,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.64.0/24,0,milan,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},milan,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.64.0/24,0,stockholm,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},stockholm,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.64.0/24,0,roma,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},roma,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.64.0/24,0,warsaw,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},warsaw,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.64.0/24,0,london,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},london,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.64.0/24,0,lisbon,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},lisbon,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.64.0/24,0,frankfurt,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},frankfurt,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.64.0/24,0,brussels,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},brussels,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.64.0/24,0,peeristanbul_10,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},peeristanbul_10,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.64.0/24,0,peerbasel_2,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},peerbasel_2,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.64.0/24,0,peergeneva_8,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},peergeneva_8,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.64.0/24,0,paris,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},paris,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.64.0/24,0,zurich,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},zurich,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.64.0/24,0,budapest,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},budapest,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.64.0/24,0,marseille,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},marseille,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.64.0/24,0,peerstrasbourg_15,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},peerstrasbourg_15,PolicyStatus.HOLDSNOT
PolicyType.Reachability,200.1.64.0/24,0,bratislava,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},bratislava,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.64.0/24,0,basel,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},basel,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.64.0/24,0,madrid,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},madrid,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.64.0/24,0,athens,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},athens,PolicyStatus.HOLDS
PolicyType.Reachability,200.1.64.0/24,0,praha,{strasbourg:GigabitEthernet0/0 (200.1.64.0/24)},{9},praha,PolicyStatus.HOLDS
